_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,1,indian names,indian names,1,http://surnames.behindthename.com/names/usage/norwegian,ABEL
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,2,indian names,indian names,2,http://surnames.behindthename.com/names/usage/norwegian,ABELS
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,3,indian names,indian names,3,http://surnames.behindthename.com/names/usage/norwegian,ABRAHAMSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,4,indian names,indian names,4,http://surnames.behindthename.com/names/usage/norwegian,ABRAMSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,5,indian names,indian names,5,http://surnames.behindthename.com/names/usage/norwegian,ADAMSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,6,indian names,indian names,6,http://surnames.behindthename.com/names/usage/norwegian,ALBERTSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,7,indian names,indian names,7,http://surnames.behindthename.com/names/usage/norwegian,ALEXANDERSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,8,indian names,indian names,8,http://surnames.behindthename.com/names/usage/norwegian,AMUNDSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,9,indian names,indian names,9,http://surnames.behindthename.com/names/usage/norwegian,ANDERSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,10,indian names,indian names,10,http://surnames.behindthename.com/names/usage/norwegian,ANTHONSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,11,indian names,indian names,11,http://surnames.behindthename.com/names/usage/norwegian,ARNESEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,12,indian names,indian names,12,http://surnames.behindthename.com/names/usage/norwegian,ÅRUD
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,13,indian names,indian names,13,http://surnames.behindthename.com/names/usage/norwegian,BAARDSSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,14,indian names,indian names,14,http://surnames.behindthename.com/names/usage/norwegian,CARLSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,15,indian names,indian names,15,http://surnames.behindthename.com/names/usage/norwegian,CHRISTIANSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,16,indian names,indian names,16,http://surnames.behindthename.com/names/usage/norwegian,DAHL
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,17,indian names,indian names,17,http://surnames.behindthename.com/names/usage/norwegian,DANIELSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,18,indian names,indian names,18,http://surnames.behindthename.com/names/usage/norwegian,ERICKSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,19,indian names,indian names,19,http://surnames.behindthename.com/names/usage/norwegian,FALK
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,20,indian names,indian names,20,http://surnames.behindthename.com/names/usage/norwegian,FRANK (3)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,21,indian names,indian names,21,http://surnames.behindthename.com/names/usage/norwegian,GULBRANDSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,22,indian names,indian names,22,http://surnames.behindthename.com/names/usage/norwegian,HAAKONSSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,23,indian names,indian names,23,http://surnames.behindthename.com/names/usage/norwegian,HAGEBAK
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,24,indian names,indian names,24,http://surnames.behindthename.com/names/usage/norwegian,HALL
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,25,indian names,indian names,25,http://surnames.behindthename.com/names/usage/norwegian,HANSEN (1)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,26,indian names,indian names,26,http://surnames.behindthename.com/names/usage/norwegian,HARALDSSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,27,indian names,indian names,27,http://surnames.behindthename.com/names/usage/norwegian,HAUGEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,28,indian names,indian names,28,http://surnames.behindthename.com/names/usage/norwegian,HERMANSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,29,indian names,indian names,29,http://surnames.behindthename.com/names/usage/norwegian,HOLT
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,30,indian names,indian names,30,http://surnames.behindthename.com/names/usage/norwegian,HORN (1)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,31,indian names,indian names,31,http://surnames.behindthename.com/names/usage/norwegian,HORN (2)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,32,indian names,indian names,32,http://surnames.behindthename.com/names/usage/norwegian,HUMMEL (1)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,33,indian names,indian names,33,http://surnames.behindthename.com/names/usage/norwegian,HUMMEL (2)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,34,indian names,indian names,34,http://surnames.behindthename.com/names/usage/norwegian,JACOBSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,35,indian names,indian names,35,http://surnames.behindthename.com/names/usage/norwegian,JAKOBSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,36,indian names,indian names,36,http://surnames.behindthename.com/names/usage/norwegian,KNUTSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,37,indian names,indian names,37,http://surnames.behindthename.com/names/usage/norwegian,KRISTIANSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,38,indian names,indian names,38,http://surnames.behindthename.com/names/usage/norwegian,KRISTOFFERSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,39,indian names,indian names,39,http://surnames.behindthename.com/names/usage/norwegian,LANDVIK
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,40,indian names,indian names,40,http://surnames.behindthename.com/names/usage/norwegian,LANG
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,41,indian names,indian names,41,http://surnames.behindthename.com/names/usage/norwegian,LANGE
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,42,indian names,indian names,42,http://surnames.behindthename.com/names/usage/norwegian,LEONARDSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,43,indian names,indian names,43,http://surnames.behindthename.com/names/usage/norwegian,LOSNEDAHL
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,44,indian names,indian names,44,http://surnames.behindthename.com/names/usage/norwegian,LUND
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,45,indian names,indian names,45,http://surnames.behindthename.com/names/usage/norwegian,NÆSS
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,46,indian names,indian names,46,http://surnames.behindthename.com/names/usage/norwegian,NAESS
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,47,indian names,indian names,47,http://surnames.behindthename.com/names/usage/norwegian,NASS
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,48,indian names,indian names,48,http://surnames.behindthename.com/names/usage/norwegian,NESS
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,49,indian names,indian names,49,http://surnames.behindthename.com/names/usage/norwegian,NIELSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,50,indian names,indian names,50,http://surnames.behindthename.com/names/usage/norwegian,NILSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,51,indian names,indian names,51,http://surnames.behindthename.com/names/usage/norwegian,OLHOUSER
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,52,indian names,indian names,52,http://surnames.behindthename.com/names/usage/norwegian,OLIVERSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,53,indian names,indian names,53,http://surnames.behindthename.com/names/usage/norwegian,OMDAHL
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,54,indian names,indian names,54,http://surnames.behindthename.com/names/usage/norwegian,OSTBERG
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,55,indian names,indian names,55,http://surnames.behindthename.com/names/usage/norwegian,OVESEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,56,indian names,indian names,56,http://surnames.behindthename.com/names/usage/norwegian,RASKE
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,57,indian names,indian names,57,http://surnames.behindthename.com/names/usage/norwegian,RASMUSSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,58,indian names,indian names,58,http://surnames.behindthename.com/names/usage/norwegian,ROLVSSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,59,indian names,indian names,59,http://surnames.behindthename.com/names/usage/norwegian,SALOMON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,60,indian names,indian names,60,http://surnames.behindthename.com/names/usage/norwegian,SINASON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,61,indian names,indian names,61,http://surnames.behindthename.com/names/usage/norwegian,SKJEGGESTAD
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,62,indian names,indian names,62,http://surnames.behindthename.com/names/usage/norwegian,SOLBERG
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,63,indian names,indian names,63,http://surnames.behindthename.com/names/usage/norwegian,SØRENSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,64,indian names,indian names,64,http://surnames.behindthename.com/names/usage/norwegian,SPILLUM
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,65,indian names,indian names,65,http://surnames.behindthename.com/names/usage/norwegian,STEENSEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,66,indian names,indian names,66,http://surnames.behindthename.com/names/usage/norwegian,STORSTRAND
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,67,indian names,indian names,67,http://surnames.behindthename.com/names/usage/norwegian,STRAND
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,68,indian names,indian names,68,http://surnames.behindthename.com/names/usage/norwegian,SWENHAUGEN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,69,indian names,indian names,69,http://surnames.behindthename.com/names/usage/norwegian,TENNFJORD
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,70,indian names,indian names,70,http://surnames.behindthename.com/names/usage/norwegian,TOOV
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,71,indian names,indian names,71,http://surnames.behindthename.com/names/usage/norwegian,VANG (1)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,72,indian names,indian names,72,http://surnames.behindthename.com/names/usage/norwegian,VILHJALMSSON
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,73,indian names,indian names,73,http://surnames.behindthename.com/names/usage/norwegian,VINTER
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,74,indian names,indian names,74,http://surnames.behindthename.com/names/usage/norwegian,VOLL (1)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,75,indian names,indian names,75,http://surnames.behindthename.com/names/usage/norwegian,VOLLAN
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,76,indian names,indian names,76,http://surnames.behindthename.com/names/usage/norwegian,WANG (5)
webpage/url:http://surnames.behindthename.com/names/usage/norwegian|,77,indian names,indian names,77,http://surnames.behindthename.com/names/usage/norwegian,WOLFF
